City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,lichinga,MZ,2022-07-04 04:12:13,-13.3128,35.2406,49.8,93,0,7.63
138,tarnos,FR,2022-07-04 04:12:14,43.5417,-1.4628,64.71,77,100,4.61
139,maceio,BR,2022-07-04 04:12:14,-9.6658,-35.7353,72.84,94,75,4.61
140,bataipora,BR,2022-07-04 04:12:15,-22.2953,-53.2711,67.87,51,0,6.73
141,coquimbo,CL,2022-07-04 04:12:15,-29.9533,-71.3436,49.73,76,0,5.75
142,wagar,SD,2022-07-04 04:12:15,16.1525,36.2032,76.66,68,94,24.87
143,strezhevoy,RU,2022-07-04 04:12:16,60.7333,77.5889,59.04,61,99,5.64
144,lake charles,US,2022-07-04 04:12:16,30.2131,-93.2044,82.98,92,0,5.75
145,kokopo,PG,2022-07-04 04:12:17,-4.352,152.2633,86.59,60,70,9.6
146,salina,US,2022-07-04 04:10:35,38.8403,-97.6114,80.73,74,0,16.11
147,udachnyy,RU,2022-07-04 04:12:18,66.4167,112.4,64.45,63,44,38.25
148,pyapon,MM,2022-07-04 04:12:18,16.2833,95.6833,84.61,77,95,9.6
149,muros,ES,2022-07-04 04:12:19,42.7762,-9.0603,65.08,77,35,12.41
150,colares,PT,2022-07-04 04:12:19,38.7992,-9.4469,66.33,77,83,10.0
151,lata,PT,2022-07-04 04:12:20,40.1629,-8.3327,63.07,95,0,1.28
152,cabo san lucas,MX,2022-07-04 04:10:11,22.8909,-109.9124,85.51,59,3,3.0
153,puerto suarez,BO,2022-07-04 04:12:21,-18.95,-57.8,71.19,51,42,3.4
154,dicabisagan,PH,2022-07-04 04:12:21,17.0818,122.4157,83.52,77,100,4.56
155,laguna,US,2022-07-04 04:12:22,38.421,-121.4238,69.15,63,0,10.36
156,arlit,NE,2022-07-04 04:12:22,18.7369,7.3853,86.0,10,0,4.81
157,xichang,CN,2022-07-04 04:12:23,27.8964,102.2634,80.24,64,34,2.66
158,kemin,KG,2022-07-04 04:12:23,42.7846,75.6892,86.11,30,2,3.62
159,fethiye,TR,2022-07-04 04:12:24,36.6217,29.1164,71.47,32,0,7.02
160,srednekolymsk,RU,2022-07-04 04:12:24,67.45,153.6833,68.56,33,65,5.08
161,ovruch,UA,2022-07-04 04:12:25,51.3246,28.8035,63.7,71,61,3.89
162,longyearbyen,SJ,2022-07-04 04:12:25,78.2186,15.6401,48.04,71,75,14.97
163,pevek,RU,2022-07-04 04:12:26,69.7008,170.3133,35.87,93,100,7.27
164,hinton,CA,2022-07-04 04:12:26,53.4001,-117.5857,53.06,84,99,5.48
165,sulina,RO,2022-07-04 04:12:27,45.1559,29.6536,71.91,51,0,1.66
166,geraldton,AU,2022-07-04 04:12:27,-28.7667,114.6,66.61,27,0,26.46
167,yumen,CN,2022-07-04 04:12:28,40.2833,97.2,82.9,10,27,14.97
168,itarema,BR,2022-07-04 04:10:48,-2.9248,-39.9167,76.37,79,77,12.75
169,boa esperanca,BR,2022-07-04 04:12:29,-21.09,-45.5658,56.84,62,0,3.87
