City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
85,santarem,BR,2022-07-05 04:03:12,-2.4431,-54.7083,80.73,89,0,6.91,clear sky,0.0,0
86,buchanan,LR,2022-07-05 04:03:13,5.8808,-10.0467,75.81,83,95,5.06,overcast clouds,0.0,0
87,victoria,HK,2022-07-05 03:59:54,22.2855,114.1577,87.85,83,100,17.0,overcast clouds,0.0,0
88,carnarvon,AU,2022-07-05 04:03:14,-24.8667,113.6333,69.69,24,32,7.85,scattered clouds,0.0,0
89,katsuura,JP,2022-07-05 04:03:14,35.1333,140.3,75.78,86,100,19.66,light rain,0.0,0
90,saskylakh,RU,2022-07-05 04:03:15,71.9167,114.0833,55.6,44,81,4.7,broken clouds,0.0,0
91,ixtapa,MX,2022-07-05 04:00:23,20.7,-105.2,82.22,88,97,4.0,overcast clouds,0.0,0
92,sakakah,SA,2022-07-05 04:03:16,29.9697,40.2064,82.9,30,0,13.0,clear sky,0.0,0
93,marondera,ZW,2022-07-05 04:03:16,-18.1853,31.5519,44.15,88,1,2.64,clear sky,0.0,0
94,san rafael,AR,2022-07-05 04:03:17,-34.6177,-68.3301,43.36,34,0,3.74,clear sky,0.0,0
95,troitskiy,RU,2022-07-05 04:03:17,57.0603,63.7481,52.29,65,100,11.61,overcast clouds,0.0,0
96,anadyr,RU,2022-07-05 04:01:13,64.75,177.4833,46.9,93,75,8.95,broken clouds,0.0,0
97,ruteng,ID,2022-07-05 04:03:18,-8.6136,120.4721,70.68,71,71,4.14,broken clouds,0.0,0
98,pemangkat,ID,2022-07-05 04:03:19,1.1667,108.9667,84.29,72,100,1.34,overcast clouds,0.0,0
99,rosita,NI,2022-07-05 04:03:19,13.9268,-84.4032,73.74,99,100,2.28,overcast clouds,0.0,0
100,tefe,BR,2022-07-05 04:03:20,-3.3542,-64.7114,71.64,99,96,2.75,overcast clouds,0.0,0
101,turukhansk,RU,2022-07-05 04:03:20,65.8167,87.9833,60.85,46,99,10.13,overcast clouds,0.0,0
102,chuy,UY,2022-07-05 04:03:21,-33.6971,-53.4616,54.97,98,87,6.38,overcast clouds,0.0,0
103,thunder bay,CA,2022-07-05 04:03:21,48.4001,-89.3168,55.31,94,100,3.44,mist,0.0,0
104,araouane,ML,2022-07-05 04:03:21,18.9048,-3.5265,92.61,9,48,8.95,scattered clouds,0.0,0
105,tilichiki,RU,2022-07-05 04:03:22,60.4667,166.1,53.15,74,95,5.68,overcast clouds,0.0,0
106,iqaluit,CA,2022-07-05 04:00:17,63.7506,-68.5145,45.7,81,100,4.0,overcast clouds,0.0,0
107,dikson,RU,2022-07-05 04:03:22,73.5069,80.5464,35.35,98,100,2.35,overcast clouds,0.0,0
108,lebu,CL,2022-07-05 04:03:23,-37.6167,-73.65,50.18,87,100,20.49,light rain,0.0,0
109,nanakuli,US,2022-07-05 04:03:23,21.3906,-158.1547,82.35,61,0,10.36,clear sky,0.0,0
110,olafsvik,IS,2022-07-05 04:03:24,64.8945,-23.7142,48.6,76,91,4.34,overcast clouds,0.0,0
111,codrington,AU,2022-07-05 04:03:24,-38.2667,141.9667,58.98,57,65,11.88,broken clouds,0.0,0
112,aklavik,CA,2022-07-05 04:03:25,68.2191,-135.0107,64.36,90,53,12.62,heavy intensity rain,0.0,0
113,talnakh,RU,2022-07-05 04:03:25,69.4865,88.3972,58.21,42,0,14.38,clear sky,0.0,0
114,caravelas,BR,2022-07-05 04:03:26,-17.7125,-39.2481,68.97,89,0,4.12,clear sky,0.0,0
115,bethel,US,2022-07-05 04:03:26,41.3712,-73.414,70.63,76,0,0.0,clear sky,0.0,0
116,zeya,RU,2022-07-05 04:03:27,53.75,127.2667,91.31,35,3,7.0,clear sky,0.0,0
117,kuito,AO,2022-07-05 04:03:27,-12.3833,16.9333,48.96,57,0,3.69,clear sky,0.0,0
